,country,donate,receive
1,United States of America,116176338066,104524992
2,United Kingdom,23690539376,957343964
3,United Arab Emirates,67636986,300206472
4,Thailand,25461,49041317440
5,Taiwan,83737498,3399554410
6,Switzerland,2844087953,326783
7,Sweden,6364045876,59757155
8,Spain,2014695904,561711808
9,South Africa,0,18655555070
10,Slovenia,150028,225435200
11,Slovakia,395574,821195623
12,Saudi Arabia,1698410689,4877749103
13,Romania,0,3329059861
14,Qatar,104519053,733783749
15,Portugal,68900866,175242606
16,Poland,403184,24517225188
17,Norway,4416814418,368001981
18,New Zealand,56749885,225588310
19,Netherlands,8939647189,0
20,Monaco,941387,0
21,Luxembourg,111554022,555039832
22,Lithuania,0,514143270
23,Liechtenstein,4370700,18393083
24,Latvia,0,423495040
25,Kuwait,1369078319,7771540076
26,South Korea,1299047720,25294323453
27,Japan,114182254172,2081102258
28,Italy,3835655974,2400826417
29,Ireland,295144458,934638729
30,India,0,133980469969
31,Iceland,172501,18060045
32,Hungary,324552,2925327491
33,Greece,32667185,519377906
34,Germany,47218438821,60164
35,France,15456459635,237540854
36,Finland,665953415,180695493
37,Estonia,278942,251349503
38,Denmark,2952416405,166310586
39,Czechia,8930435,2141913341
40,Cyprus,5599,968154947
41,Colombia,190795,25530536307
42,Chile,564349,7334129130
43,Canada,7466338200,4068652966
44,Brazil,1134440,36607258078
45,Belgium,2144445270,184346233
46,Austria,784068952,770267419
47,Australia,2446616312,2572618261
