,country,year,donate,receive,
,United States of America,1973,1553264205,0,
,United States of America,1974,871092243,0,
,United States of America,1975,944272511,0,
,United States of America,1976,897290248,0,
,United States of America,1977,246198361,0,
,United States of America,1978,438452911,0,
,United States of America,1979,717779582,0,
,United States of America,1980,6864224034,0,
,United States of America,1981,8124423748,0,
,United States of America,1982,3462490652,0,
,United States of America,1983,1091122225,0,
,United States of America,1984,2515278485,0,
,United States of America,1985,2735617446,0,
,United States of America,1986,1334668057,0,
,United States of America,1987,1846214071,0,
,United States of America,1988,1051167154,0,
,United States of America,1989,1065107732,0,
,United States of America,1990,1722305682,0,
,United States of America,1991,2887003516,0,
,United States of America,1992,11399278504,0,
,United States of America,1993,4501838784,0,
,United States of America,1994,8154319014,0,
,United States of America,1995,3392574370,0,
,United States of America,1996,4595800488,0,
,United States of America,1997,3423306503,0,
,United States of America,1998,2460766389,0,
,United States of America,1999,7962084321,0,
,United States of America,2000,6008166308,0,
,United States of America,2001,4136147099,0,
,United States of America,2002,4549559432,4920,
,United States of America,2003,1258474359,0,
,United States of America,2004,1328167876,0,
,United States of America,2005,1350566958,0,
,United States of America,2006,1935937419,0,
,United States of America,2007,1111447327,104519053,
,United States of America,2008,1715190276,1019,
,United States of America,2009,1695864746,0,
,United States of America,2010,1517053044,0,
,United States of America,2011,1158991620,0,
,United States of America,2012,1093496899,0,
,United States of America,2013,1059333467,0,
,Japan,1973,938965880,0,
,Japan,1974,2730202327,0,
,Japan,1975,1339039677,0,
,Japan,1976,762168614,0,
,Japan,1977,1479116934,0,
,Japan,1978,1429326640,0,
,Japan,1979,1014747194,0,
,Japan,1980,1826375443,264768921,
,Japan,1981,2935257275,446920760,
,Japan,1982,1471338041,0,
,Japan,1983,1760860027,0,
,Japan,1984,2565737016,166832089,
,Japan,1985,2525827880,269876498,
,Japan,1986,1341662477,130559708,
,Japan,1987,1770174669,525123264,
,Japan,1988,3320238368,0,
,Japan,1989,582793544,0,
,Japan,1990,2604458951,0,
,Japan,1991,4702296751,0,
,Japan,1992,2865776832,0,
,Japan,1993,2494054534,0,
,Japan,1994,2667081144,0,
,Japan,1995,2880751774,0,
,Japan,1996,3905453074,0,
,Japan,1997,10777668538,0,
,Japan,1998,4486462107,0,
,Japan,1999,8630152095,276896345,
,Japan,2000,1310812373,0,
,Japan,2001,1017504389,0,
,Japan,2002,2561928262,0,
,Japan,2003,2147321397,0,
,Japan,2004,2545515962,0,
,Japan,2005,2566817614,0,
,Japan,2006,2542330417,0,
,Japan,2007,3544215397,0,
,Japan,2008,4531094069,0,
,Japan,2009,2645297987,0,
,Japan,2010,3428196179,124673,
,Japan,2011,2635586602,0,
,Japan,2012,4256445621,0,
,Japan,2013,2641200097,0,
,Germany,1973,562232384,0,
,Germany,1974,698168091,0,
,Germany,1975,833859928,0,
